hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,val_loss,val_acc,time_s
128,3,0.0001,0.4,20,256,0.995813250541687,0.39473684210526316,4.4
128,3,0.001,0.3,60,256,0.9958593845367432,0.35526315789473684,1.4
128,2,0.001,0.2,40,128,0.9961643218994141,0.39473684210526316,1.6
128,2,0.001,0.2,60,256,0.996168315410614,0.4605263157894737,1.2
64,2,0.0005,0.3,20,128,0.9965035617351532,0.3684210526315789,2.1
32,1,0.001,0.2,60,256,0.9966067671775818,0.4934210526315789,1.4
32,1,0.0005,0.4,40,128,0.9968271851539612,0.3881578947368421,2.5
128,1,0.0005,0.3,60,256,0.9968933463096619,0.4342105263157895,1.4
32,1,0.001,0.4,60,256,0.9969120621681213,0.4605263157894737,1.4
128,3,0.0005,0.4,40,128,0.9969688355922699,0.3355263157894737,1.8
128,3,0.0001,0.3,20,256,0.9970951676368713,0.40131578947368424,5.1
128,2,0.0005,0.4,60,256,0.9971605539321899,0.4276315789473684,1.4
128,2,0.001,0.3,60,256,0.997425377368927,0.40131578947368424,1.2
32,1,0.0005,0.4,40,256,0.9976584315299988,0.35526315789473684,5.2
128,1,0.0001,0.2,20,128,0.9976817071437836,0.40131578947368424,2.9
32,1,0.001,0.3,60,256,0.9978302717208862,0.48026315789473684,1.4
128,1,0.0001,0.3,20,128,0.9979357123374939,0.40131578947368424,2.8
32,3,0.001,0.3,20,128,0.9980778098106384,0.35526315789473684,2.0
128,1,0.0001,0.4,20,128,0.9981548488140106,0.39473684210526316,2.7
32,3,0.0005,0.3,40,128,0.9981698393821716,0.375,3.3
128,1,0.001,0.4,60,256,0.9985166192054749,0.42105263157894735,1.1
32,3,0.0005,0.4,20,256,0.9985448718070984,0.3815789473684211,3.0
64,1,0.0005,0.3,20,128,0.9985476136207581,0.42105263157894735,2.3
128,3,0.001,0.2,40,128,0.9987427294254303,0.39473684210526316,1.8
128,1,0.0005,0.4,60,256,0.998794674873352,0.42105263157894735,1.4
128,3,0.0001,0.3,20,128,0.9988033771514893,0.3157894736842105,2.2
32,1,0.0001,0.2,40,128,0.9989068806171417,0.40131578947368424,7.4
32,3,0.001,0.2,20,128,0.9989386200904846,0.375,2.0
32,1,0.0005,0.2,60,256,0.9990846514701843,0.47368421052631576,2.0
128,1,0.0005,0.2,60,256,0.9991785883903503,0.4473684210526316,1.4
32,2,0.0001,0.4,20,128,0.999179869890213,0.34210526315789475,8.3
32,3,0.0005,0.2,40,128,0.9993332922458649,0.3684210526315789,3.2
64,2,0.0005,0.4,20,128,0.9993520975112915,0.3684210526315789,2.1
128,3,0.0001,0.2,20,128,0.9995282888412476,0.3157894736842105,2.2
32,1,0.0005,0.3,60,256,0.9996575713157654,0.4473684210526316,1.9
128,2,0.001,0.3,40,128,0.9997411966323853,0.42105263157894735,1.9
128,3,0.001,0.4,40,128,0.9997615218162537,0.3618421052631579,1.5
32,3,0.001,0.4,20,256,1.0000609159469604,0.34210526315789475,1.8
64,1,0.001,0.4,60,256,1.0002086162567139,0.3684210526315789,1.5
32,1,0.0005,0.4,60,256,1.0002448558807373,0.47368421052631576,2.3
64,1,0.001,0.3,20,128,1.0003916323184967,0.39473684210526316,1.4
64,1,0.001,0.2,60,256,1.000556230545044,0.3223684210526316,1.4
128,2,0.0001,0.4,60,256,1.0006201267242432,0.42105263157894735,3.5
128,2,0.0001,0.4,20,128,1.000632792711258,0.32894736842105265,2.2
128,3,0.0005,0.2,40,128,1.0008061528205872,0.39473684210526316,2.1
